Job Title,Job Description,link,price,combined
Marketing team,"We are a company that has developed a project management system tailored for the construction and trades industry. We have completed our MVP version and are now looking for a marketing agency that can manage social media, email campaigns, and analyze Google Analytics to create customer and lead conversion flows. Our system is available at timeflowsystem.se. We will start with the Swedish market but plan to expand internationally in the near future. Our system targets both private individuals looking for tradespeople and professionals in the trade industry who need a steady stream of leads and a project tool that saves them time. Applicants must have expertise in the following platforms and tools: Meta, Google Ads, Analytics, LinkedIn, YouTube, Pinterest, TikTok, Klaviyo, Microsoft Ads, Buffer, Slack, Jira, SharePoint, among others. We will be running several campaigns simultaneously and will soon be entering additional international markets. You will be responsible for creating visuals (we will provide image materials), be involved in our website (built in Python and Django CMS), run social media ads, and execute targeted email campaigns (we already have mailing lists). We are looking for a long-term, mutually beneficial collaboration.",https://www.peopleperhour.com/freelance-jobs/digital-marketing/content-marketing/marketing-team-4391435,$25/hr,"marketing team we are a company that has developed a project management system tailored for the construction and trades industry. we have completed our mvp version and are now looking for a marketing agency that can manage social media, email campaigns, and analyze google analytics to create customer and lead conversion flows. our system is available at timeflowsystem.se. we will start with the swedish market but plan to expand internationally in the near future. our system targets both private individuals looking for tradespeople and professionals in the trade industry who need a steady stream of leads and a project tool that saves them time. applicants must have expertise in the following platforms and tools: meta, google ads, analytics, linkedin, youtube, pinterest, tiktok, klaviyo, microsoft ads, buffer, slack, jira, sharepoint, among others. we will be running several campaigns simultaneously and will soon be entering additional international markets. you will be responsible for creating visuals (we will provide image materials), be involved in our website (built in python and django cms), run social media ads, and execute targeted email campaigns (we already have mailing lists). we are looking for a long-term, mutually beneficial collaboration."
TTS Software Installation Expert Needed,"Install Translate-to-Speech (TTS) software on a computer that will serve as a remote server. We need someone with previous experience in voice synthesis to install Coqui TTS, add VITS voices, and assist in generating and fine-tuning custom voices from scratch. The required voices are in a minor language and will require adjustments for their implementation and subsequent use to create long, ultra-natural-sounding texts. Knowledge of Python is required. This is not a development project; it is simply a local server installation. We provide the necessary documentation for rapid implementation, as well as the source code. The installation will be performed remotely.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/tts-software-installation-expert-needed-4384149,$25/hr,"tts software installation expert needed install translate-to-speech (tts) software on a computer that will serve as a remote server. we need someone with previous experience in voice synthesis to install coqui tts, add vits voices, and assist in generating and fine-tuning custom voices from scratch. the required voices are in a minor language and will require adjustments for their implementation and subsequent use to create long, ultra-natural-sounding texts. knowledge of python is required. this is not a development project; it is simply a local server installation. we provide the necessary documentation for rapid implementation, as well as the source code. the installation will be performed remotely."
Interactive Podcast Audio Integration Tool,"Objective Build a standalone Windows script that: Plays a pre-recorded audio file into NotebookML’s mic input (using VB-Cable) Records the browser output (Chromium) for 60 seconds and saves it as a .wav file Tech Requirements OS: Windows 10 or 11 Language: Python (preferred) or JavaScript (Node.js) Tools: VB-Cable (A+B) for audio routing FFmpeg for recording audio (Optional) Playwright to simulate “Join” click in NotebookML Functionality Step 1 – Audio Injection Play a specified .wav file (e.g., question.wav) into the Chromium browser’s microphone input via VB-Cable The browser should already be open at https://notebooklm.google.com/ in Interactive Mode Ideally, wait 5 seconds before playback to allow time for the host's welcome message and for the podcast to enter listening mode Step 2 – Audio Recording Start recording output from Chromium’s speaker output via VB-Cable Save a .wav file (e.g., response_2025-05-30T12-00-00.wav) Duration: 60 seconds (should be configurable in the script) Step 3 – Output Save the .wav file to the ./recordings/ folder Print status to console only: Injecting audio... Recording answer... Saved response to recordings/response_.wav Configuration (can be hardcoded) Input audio file path Output WAV file location Recording duration (default: 60s) Device names for VB-Cable input/output (optional to expose) Deliverables A working Python or JavaScript script file (inject_and_record.py or .js) README with setup instructions and list of dependencies All source code in editable form, tested on Windows 10 or 11 using VB-Cable and Chromium",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/interactive-podcast-audio-integration-tool-4385049,$150,"interactive podcast audio integration tool objective build a standalone windows script that: plays a pre-recorded audio file into notebookml’s mic input (using vb-cable) records the browser output (chromium) for 60 seconds and saves it as a .wav file tech requirements os: windows 10 or 11 language: python (preferred) or javascript (node.js) tools: vb-cable (a+b) for audio routing ffmpeg for recording audio (optional) playwright to simulate “join” click in notebookml functionality step 1 – audio injection play a specified .wav file (e.g., question.wav) into the chromium browser’s microphone input via vb-cable the browser should already be open at https://notebooklm.google.com/ in interactive mode ideally, wait 5 seconds before playback to allow time for the host's welcome message and for the podcast to enter listening mode step 2 – audio recording start recording output from chromium’s speaker output via vb-cable save a .wav file (e.g., response_2025-05-30t12-00-00.wav) duration: 60 seconds (should be configurable in the script) step 3 – output save the .wav file to the ./recordings/ folder print status to console only: injecting audio... recording answer... saved response to recordings/response_.wav configuration (can be hardcoded) input audio file path output wav file location recording duration (default: 60s) device names for vb-cable input/output (optional to expose) deliverables a working python or javascript script file (inject_and_record.py or .js) readme with setup instructions and list of dependencies all source code in editable form, tested on windows 10 or 11 using vb-cable and chromium"
Development of an AI-Powered Web Application for a Running Shoe,"This project aims to develop an innovative web application to market a customizable running shoe. The app will utilize computer vision, machine learning, and adaptive questionnaires to determine each user's optimal shoe size and gait characteristics. A foot scanner using the front-facing camera will measure foot dimensions to ensure proper fit. Users will also complete an intelligent health survey and upload a short video of their gait for analysis. Powerful AI models will integrate this multi-dimensional user data to customize the shoe's support for pronation and supination on an individual basis. The app will additionally facilitate direct e-commerce functions for purchasing customized pairs. An engaging mobile-first design focusing on usability and data privacy will optimize the user experience. Potential freelance candidates should have proven experience developing full-stack projects, with an emphasis on front-end skills like React and backend abilities in Python frameworks. Proficiency in computer vision, deep learning, and a cloud infrastructure is desired for training models and processing multimedia assets at scale. Overall, this project aims to leverage cutting-edge technologies to deliver personalized running gear and aftercare through a hassle-free digital platform.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/development-of-an-ai-powered-web-application-for-a-running-s-4388494,$492,"development of an ai-powered web application for a running shoe this project aims to develop an innovative web application to market a customizable running shoe. the app will utilize computer vision, machine learning, and adaptive questionnaires to determine each user's optimal shoe size and gait characteristics. a foot scanner using the front-facing camera will measure foot dimensions to ensure proper fit. users will also complete an intelligent health survey and upload a short video of their gait for analysis. powerful ai models will integrate this multi-dimensional user data to customize the shoe's support for pronation and supination on an individual basis. the app will additionally facilitate direct e-commerce functions for purchasing customized pairs. an engaging mobile-first design focusing on usability and data privacy will optimize the user experience. potential freelance candidates should have proven experience developing full-stack projects, with an emphasis on front-end skills like react and backend abilities in python frameworks. proficiency in computer vision, deep learning, and a cloud infrastructure is desired for training models and processing multimedia assets at scale. overall, this project aims to leverage cutting-edge technologies to deliver personalized running gear and aftercare through a hassle-free digital platform."
Web scraping tool,"I am seeking development of an automated web data extraction application. The tool should programmatically access specific websites, gather contact email addresses embedded within pages, and compile the addresses into a single downloadable file. Rather than manual browsing and copying, the application will retrieve email addresses directly from backend code through simulation of usual page loading. It should seamlessly navigate sites, interpret HTML/JavaScript to find contact strings in a specified format, and organize the yields into a clean spreadsheet format. User-interface for configuration and output should be intuitive and minimal. Primary objectives include contact harvesting from numerous pages in an expedited unobtrusive manner and segmentation of the compiled addresses for simplified import into email marketing services. Experience with web scraping libraries such as Selenium, BeautifulSoup or Scrapy would be beneficial. Proficiency in Python is required for this project.",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/web-scraping-tool-4382888,$449,"web scraping tool i am seeking development of an automated web data extraction application. the tool should programmatically access specific websites, gather contact email addresses embedded within pages, and compile the addresses into a single downloadable file. rather than manual browsing and copying, the application will retrieve email addresses directly from backend code through simulation of usual page loading. it should seamlessly navigate sites, interpret html/javascript to find contact strings in a specified format, and organize the yields into a clean spreadsheet format. user-interface for configuration and output should be intuitive and minimal. primary objectives include contact harvesting from numerous pages in an expedited unobtrusive manner and segmentation of the compiled addresses for simplified import into email marketing services. experience with web scraping libraries such as selenium, beautifulsoup or scrapy would be beneficial. proficiency in python is required for this project."
Create a web app using Azure to replace a traditional form,"Looking to create a web application that will be hosted in Azure using Azure technologies. The application will be replacing a manual form, currently users complete the form, sign it and then email it back. We are looking to modernise the process by creating an application. The workflow is as follows. 1. User opens the web application which will be secured using a certificate 2. Before completing the form, the user completes a multi factor authentication where a captcha phrase will be used to verify that they user is human and they provide their email address for the MFA process. 3. The next step is to open up a form to get the user to confirm their email address, they get to enter it twice with copy and paste disabled for the second input textbox so they have to type it in. 4. After this, an Azure process will get the email address, generate a random token number with 5 or 6 digits and send it to the users email address, the web app will then ask the user to confirm the number, if the number matches the user is presented with a form to complete which is the actual physical form but in a way of a web application. 5. The form should capture the IP address of the client and the date, so when the form was opened and when the form was submitted for processing. 6. The form should allow the user to sign the form either by typing their name and the date or by drawing their signature and the date. 7. After the form is submitted, a PDF file Is generated with the completed details, the form is then sent to us via email and the client so that they also have a copy of the details they provided. The PDF file should be FirstName_LastName_Application_Form_DDMMYYYYHHMM. The PDF form will also need to be stored within a storage account or Google drive. 8. Validation entries should be included in the form, for example dates should be using a date control, list of ISO countries should be a drop down list etc. Technical Requirements Programming language Python preferred for the backend. Branding graphics Technology needs to run on Azure stack. CI/CD required (Azure Devops or Github Actions) Documentation required (Editing graphics, how to add new fields, CI/CD etc). Deployment required onto our domain.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/create-a-web-app-using-azure-to-replace-a-traditional-form-4391310,$163,"create a web app using azure to replace a traditional form looking to create a web application that will be hosted in azure using azure technologies. the application will be replacing a manual form, currently users complete the form, sign it and then email it back. we are looking to modernise the process by creating an application. the workflow is as follows. 1. user opens the web application which will be secured using a certificate 2. before completing the form, the user completes a multi factor authentication where a captcha phrase will be used to verify that they user is human and they provide their email address for the mfa process. 3. the next step is to open up a form to get the user to confirm their email address, they get to enter it twice with copy and paste disabled for the second input textbox so they have to type it in. 4. after this, an azure process will get the email address, generate a random token number with 5 or 6 digits and send it to the users email address, the web app will then ask the user to confirm the number, if the number matches the user is presented with a form to complete which is the actual physical form but in a way of a web application. 5. the form should capture the ip address of the client and the date, so when the form was opened and when the form was submitted for processing. 6. the form should allow the user to sign the form either by typing their name and the date or by drawing their signature and the date. 7. after the form is submitted, a pdf file is generated with the completed details, the form is then sent to us via email and the client so that they also have a copy of the details they provided. the pdf file should be firstname_lastname_application_form_ddmmyyyyhhmm. the pdf form will also need to be stored within a storage account or google drive. 8. validation entries should be included in the form, for example dates should be using a date control, list of iso countries should be a drop down list etc. technical requirements programming language python preferred for the backend. branding graphics technology needs to run on azure stack. ci/cd required (azure devops or github actions) documentation required (editing graphics, how to add new fields, ci/cd etc). deployment required onto our domain."
full-stack web developer,"I’m looking for a skilled full-stack web developer who can build a complete website from scratch – both frontend and backend.I already have most of the design prepared in Canva, which I can share with you. It might not be directly usable for coding, but it provides a clear visual direction. **Core Requirements:** * Fully custom-built website (no templates, no WordPress). * Responsive design that works perfectly on desktop, tablet, and mobile. * Clean, modern, and fast-loading frontend. * Admin panel with full control over users and content. * User registration and login (via email and/or phone). * Paid posting system with credit or wallet functionality. * Listing system with filters (by location, category, etc.). * Contact options via direct message or contact form. * Strong focus on security and privacy. * SEO-friendly structure. * Multilingual support (starting with one language, but should be expandable). **Preferred Tech Stack (flexible):** * Frontend: HTML, CSS, JavaScript (or modern frameworks like React/Vue) * Backend: Node.js / PHP / Python / Laravel (or other full-stack solution) * Database: MySQL / PostgreSQL / MongoDB * Payment gateway integration (e.g., Stripe, crypto, or API-ready solution) If you're using a framework or CMS, please explain how it still allows full customization. **I Will Provide:** * Design mockups from Canva. * Reference websites with similar functionality and structure. * A clear feature list and flowchart. **You Must Have:** * Proven experience with full-stack development (portfolio required). * Strong communication skills. * Ability to deliver high-quality code on time. * Experience building classified/listing platforms is a big plus. * You must be comfortable building everything from scratch – not just frontend. ➕ **Bonus If You Can Also:** * Help with basic SEO structure. * Suggest hosting and deployment setup. * Handle testing and debugging across devices.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/full-stack-web-developer-4390143,$41/hr,"full-stack web developer i’m looking for a skilled full-stack web developer who can build a complete website from scratch – both frontend and backend.i already have most of the design prepared in canva, which i can share with you. it might not be directly usable for coding, but it provides a clear visual direction. **core requirements:** * fully custom-built website (no templates, no wordpress). * responsive design that works perfectly on desktop, tablet, and mobile. * clean, modern, and fast-loading frontend. * admin panel with full control over users and content. * user registration and login (via email and/or phone). * paid posting system with credit or wallet functionality. * listing system with filters (by location, category, etc.). * contact options via direct message or contact form. * strong focus on security and privacy. * seo-friendly structure. * multilingual support (starting with one language, but should be expandable). **preferred tech stack (flexible):** * frontend: html, css, javascript (or modern frameworks like react/vue) * backend: node.js / php / python / laravel (or other full-stack solution) * database: mysql / postgresql / mongodb * payment gateway integration (e.g., stripe, crypto, or api-ready solution) if you're using a framework or cms, please explain how it still allows full customization. **i will provide:** * design mockups from canva. * reference websites with similar functionality and structure. * a clear feature list and flowchart. **you must have:** * proven experience with full-stack development (portfolio required). * strong communication skills. * ability to deliver high-quality code on time. * experience building classified/listing platforms is a big plus. * you must be comfortable building everything from scratch – not just frontend. ➕ **bonus if you can also:** * help with basic seo structure. * suggest hosting and deployment setup. * handle testing and debugging across devices."
"Develop Dashboard for GST, Startup, Import-Export & MSME Data","Description: I am looking for a highly skilled full-stack developer or agency to build a data intelligence website focused on Indian economic and business datasets. The platform will aggregate and display insights from four major categories: 1. GST Data (via GSP or scraping sources) 2. Startup Data (DPIIT/Startup India/API scraping) 3. Import/Export Data (DGFT/ICEGATE) 4.MSME Data (Udyam Portal/MSME Ministry) Key Features Required: 1. Search & Filter Interface for each data type 2. Admin panel for data uploads (CSV/API Integration) 3. Data visualizations (charts, graphs, trends) 4. User authentication system (Login/Signup) 5. Data download/export options (CSV, XLSX) 6. Responsive & clean UI Preferred Tech Stack: A. Frontend: React.js / Next.js (Tailwind preferred) B. Backend: Node.js / Python (FastAPI/Django) C. Database: PostgreSQL or MongoDB D. Deployment: AWS / Vercel / Render Deliverables: 1. Fully functional and responsive website 2. Source code with documentation 3. Admin panel to manage and update datasets 4. Sample data upload or scraper setup for at least one data category Required Experience: A. Experience working with Indian government data (MCA, GST, DGFT, etc.) B. API integrations and web scraping C. Frontend/backend full-stack development D. Strong understanding of data structure and performance optimization Project Timeline: 4-6 weeks. Budget: Open to proposals (please quote your fixed bid) To Apply, Please Provide: 1. Portfolio of similar dashboards or data-heavy projects 2. Suggested tech stack and approach for this project",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/develop-dashboard-for-gst-startup-import-export-msme-dat-4390423,$55,"develop dashboard for gst, startup, import-export & msme data description: i am looking for a highly skilled full-stack developer or agency to build a data intelligence website focused on indian economic and business datasets. the platform will aggregate and display insights from four major categories: 1. gst data (via gsp or scraping sources) 2. startup data (dpiit/startup india/api scraping) 3. import/export data (dgft/icegate) 4.msme data (udyam portal/msme ministry) key features required: 1. search & filter interface for each data type 2. admin panel for data uploads (csv/api integration) 3. data visualizations (charts, graphs, trends) 4. user authentication system (login/signup) 5. data download/export options (csv, xlsx) 6. responsive & clean ui preferred tech stack: a. frontend: react.js / next.js (tailwind preferred) b. backend: node.js / python (fastapi/django) c. database: postgresql or mongodb d. deployment: aws / vercel / render deliverables: 1. fully functional and responsive website 2. source code with documentation 3. admin panel to manage and update datasets 4. sample data upload or scraper setup for at least one data category required experience: a. experience working with indian government data (mca, gst, dgft, etc.) b. api integrations and web scraping c. frontend/backend full-stack development d. strong understanding of data structure and performance optimization project timeline: 4-6 weeks. budget: open to proposals (please quote your fixed bid) to apply, please provide: 1. portfolio of similar dashboards or data-heavy projects 2. suggested tech stack and approach for this project"
Full-Stack Developer to enhance our payment processing system,"Full-Stack Developer to enhance our payment processing system , Job Responsibilities: 1. Balance and Payment Calculating System Development - Redesign and implement a cloud-based balance calculator that allows for real-time updates and integrates with the Financial Disclosure Statement (FNC). 2. User Input System Creation - Design a user-friendly interface for clients to fill out the FNC and view balance calculator options. 3. Payment Processing Integration - Develop a backend system to generate payment detail forms based on user selections and incorporate electronic signature functionality. 4. API Integration - Integrate payment gateway APIs to automate payment processing and ensure secure handling of payment information in compliance with PCI standards. 5. Recurring Payments Automation - Implement a system for setting up and managing recurring payments with minimal administrative oversight. 6. Client Communication Automation - Create automated email notifications for payment receipts, upcoming payment reminders, and declined payment alerts. 7. Daily Reporting System - Develop a reporting feature to summarize daily transactions, including forms sent, signed, and payments made, ensuring reports are accessible and exportable. 8. Backend Management and Overrides - Design a flexible backend system for easy updates and changes, including a manual override feature for payment approvals. 9. Quality Assurance - Conduct thorough testing to ensure system functionality, usability, and security; address any bugs or issues. Qualifications: - Education: computer science, Software Engineering, or a related field. - Experience: - Proven experience in full-stack development. - Familiarity with payment processing systems and APIs (e.g., Centz, Stripe, PayPal). - Experience with cloud-based applications and database management. - Technical Skills: - Proficiency in programming languages such as JavaScript, Python, Ruby, or PHP. - Familiarity with front-end frameworks (React, Angular, Vue.js). - Experience with database management systems (SQL, NoSQL). - Soft Skills: - Strong problem-solving abilities and attention to detail. - Excellent communication and collaboration skills. - Ability to manage multiple tasks effectively. Desired Attributes: - Proactive approach to identifying and addressing issues. - Flexibility to adapt to changing requirements. - Commitment to delivering high-quality work.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/full-stack-developer-to-enhance-our-payment-processing-syste-4391840,$2K,"full-stack developer to enhance our payment processing system full-stack developer to enhance our payment processing system , job responsibilities: 1. balance and payment calculating system development - redesign and implement a cloud-based balance calculator that allows for real-time updates and integrates with the financial disclosure statement (fnc). 2. user input system creation - design a user-friendly interface for clients to fill out the fnc and view balance calculator options. 3. payment processing integration - develop a backend system to generate payment detail forms based on user selections and incorporate electronic signature functionality. 4. api integration - integrate payment gateway apis to automate payment processing and ensure secure handling of payment information in compliance with pci standards. 5. recurring payments automation - implement a system for setting up and managing recurring payments with minimal administrative oversight. 6. client communication automation - create automated email notifications for payment receipts, upcoming payment reminders, and declined payment alerts. 7. daily reporting system - develop a reporting feature to summarize daily transactions, including forms sent, signed, and payments made, ensuring reports are accessible and exportable. 8. backend management and overrides - design a flexible backend system for easy updates and changes, including a manual override feature for payment approvals. 9. quality assurance - conduct thorough testing to ensure system functionality, usability, and security; address any bugs or issues. qualifications: - education: computer science, software engineering, or a related field. - experience: - proven experience in full-stack development. - familiarity with payment processing systems and apis (e.g., centz, stripe, paypal). - experience with cloud-based applications and database management. - technical skills: - proficiency in programming languages such as javascript, python, ruby, or php. - familiarity with front-end frameworks (react, angular, vue.js). - experience with database management systems (sql, nosql). - soft skills: - strong problem-solving abilities and attention to detail. - excellent communication and collaboration skills. - ability to manage multiple tasks effectively. desired attributes: - proactive approach to identifying and addressing issues. - flexibility to adapt to changing requirements. - commitment to delivering high-quality work."
Encrypted Prompt Delivery API for Salesforce (Node + Apex),"N.B. You must have excellent English verbal communication skills as we will need to collaborate over video calls. If short-listed, you will be asked to attend a Google Meet with camera on. **PROJECT BRIEF** We are developing a number of proprietary AI agent products and require a secure method to deliver prompt content into Salesforce without exposing the actual prompt text. This project involves building a lightweight external API that returns AES-256 encrypted prompts, along with supporting logic to decrypt these inside Salesforce (Apex) at runtime. Deliverables 1) Encrypted Prompt API - REST endpoint (e.g. /prompt?id=agent_name) - Returns AES-256 encrypted prompt string - Uses API key/token to authenticate requests - Hosted on Heroku 2) Encryption Utility - CLI script (Node.js or Python) to encrypt new prompt strings using a shared key - Prompts can be stored in a JSON file or lightweight data store 3. Salesforce Integration Demo - Apex-compatible AES decryption function - Example Apex callout to the API with decryption logic - Key should be stored securely using Named Credentials or Encrypted Custom Settings 4. Documentation - Instructions for API deployment - How to encrypt new prompt strings - How to call and decrypt within Salesforce 5. Security Requirements - Prompt strings must never be transmitted or stored as plaintext - AES-256 encryption with CBC or GCM mode - Secure API access via token or key - Key must not be hardcoded in Apex 6. Tech Stack Preferences - API in Node.js - Salesforce integration using Apex Bonus if you have experience with Salesforce integrations and encryption libraries _____ API Specification Endpoint GET /prompt?id={agent_id} Security - HTTPS required - Token authentication required - Rate limiting preferred Apex Decryption Class - The IV can either be sent separately or prepended to the encrypted string - The key should be securely stored in Salesforce (e.g., Named Credential or Encrypted Custom Setting) - The API must ensure the ciphertext is formatted to be compatible with Salesforce’s Crypto.decrypt() function",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/encrypted-prompt-delivery-api-for-salesforce-node-apex-4386217,$885,"encrypted prompt delivery api for salesforce (node + apex) n.b. you must have excellent english verbal communication skills as we will need to collaborate over video calls. if short-listed, you will be asked to attend a google meet with camera on. **project brief** we are developing a number of proprietary ai agent products and require a secure method to deliver prompt content into salesforce without exposing the actual prompt text. this project involves building a lightweight external api that returns aes-256 encrypted prompts, along with supporting logic to decrypt these inside salesforce (apex) at runtime. deliverables 1) encrypted prompt api - rest endpoint (e.g. /prompt?id=agent_name) - returns aes-256 encrypted prompt string - uses api key/token to authenticate requests - hosted on heroku 2) encryption utility - cli script (node.js or python) to encrypt new prompt strings using a shared key - prompts can be stored in a json file or lightweight data store 3. salesforce integration demo - apex-compatible aes decryption function - example apex callout to the api with decryption logic - key should be stored securely using named credentials or encrypted custom settings 4. documentation - instructions for api deployment - how to encrypt new prompt strings - how to call and decrypt within salesforce 5. security requirements - prompt strings must never be transmitted or stored as plaintext - aes-256 encryption with cbc or gcm mode - secure api access via token or key - key must not be hardcoded in apex 6. tech stack preferences - api in node.js - salesforce integration using apex bonus if you have experience with salesforce integrations and encryption libraries _____ api specification endpoint get /prompt?id={agent_id} security - https required - token authentication required - rate limiting preferred apex decryption class - the iv can either be sent separately or prepended to the encrypted string - the key should be securely stored in salesforce (e.g., named credential or encrypted custom setting) - the api must ensure the ciphertext is formatted to be compatible with salesforce’s crypto.decrypt() function"
"Full Stack (LLM, Integrations, SaaS) – Early Product Build","*** no copy&paste applications! *** Hi, this is a big prototype and I might be offering you a full time role or much larger projects if you do well. Please INVEST time into your application and video messages will be proritised. Description: We’re building an AI-powered B2B SaaS platform designed to intelligently process unstructured content and automate the way teams manage internal knowledge across tools like Notion, Slack, LMSs, and others. The product is early-stage, but well-scoped, with a strong vision and a clear technical roadmap. We’re looking for a full stack engineer to help us bring the MVP to life. You’ll be working on: • Building ingestion pipelines for unstructured data (calls, chats, documents, etc.) • Integrating with APIs of major productivity and knowledge tools (e.g., Notion, Confluence, Gmail, Slack) • Designing and implementing LLM-based workflows (RAG, summarization, classification, prompt chains) • Delivering a performant, scalable backend with clean API architecture • Creating a functional and intuitive admin interface/dashboard Ideal Tech Stack is open to recommendation but chatGPT thinks the below is best: Backend • Python (FastAPI or Django) or Node.js • Async job orchestration: Temporal, Celery, or Prefect • Real-time ingestion: Kafka, Redis Streams, or event-driven architecture • Auth: Clerk or Auth0 Frontend • React (with TypeScript) • TailwindCSS • Experience building internal tools or admin-style dashboards AI & LLMs • Experience with OpenAI, Anthropic, Claude, or similar APIs • Knowledge of LangChain, LlamaIndex, or custom RAG implementations • Embedding + semantic search: Pinecone, Weaviate, or Qdrant • Familiarity with prompt engineering and function calling workflows Integrations • Hands-on experience with public APIs (Notion, Confluence, Slack, Gmail, LMS tools) • Comfortable reading API docs, building OAuth flows, and handling webhooks Nice to Have: • Prior work on B2B SaaS tools • Understanding of sales enablement, knowledge management, or L&D platforms • DevOps familiarity (Docker, CI/CD, logging, monitoring) Work Style: • Remote, async-friendly • You’ll collaborate directly with the founder (technical background) • Ideally 20–30 hrs/week to start, with potential to grow into a full-time role ⸻ How to Apply: Please include a short video on your relevant experience, links to past projects (GitHub, live demos, or portfolios), and anything that shows you’ve worked with similar stacks or product types.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/full-stack-llm-integrations-saas-early-product-build-4385383,$2.7K,"full stack (llm, integrations, saas) – early product build *** no copy&paste applications! *** hi, this is a big prototype and i might be offering you a full time role or much larger projects if you do well. please invest time into your application and video messages will be proritised. description: we’re building an ai-powered b2b saas platform designed to intelligently process unstructured content and automate the way teams manage internal knowledge across tools like notion, slack, lmss, and others. the product is early-stage, but well-scoped, with a strong vision and a clear technical roadmap. we’re looking for a full stack engineer to help us bring the mvp to life. you’ll be working on: • building ingestion pipelines for unstructured data (calls, chats, documents, etc.) • integrating with apis of major productivity and knowledge tools (e.g., notion, confluence, gmail, slack) • designing and implementing llm-based workflows (rag, summarization, classification, prompt chains) • delivering a performant, scalable backend with clean api architecture • creating a functional and intuitive admin interface/dashboard ideal tech stack is open to recommendation but chatgpt thinks the below is best: backend • python (fastapi or django) or node.js • async job orchestration: temporal, celery, or prefect • real-time ingestion: kafka, redis streams, or event-driven architecture • auth: clerk or auth0 frontend • react (with typescript) • tailwindcss • experience building internal tools or admin-style dashboards ai & llms • experience with openai, anthropic, claude, or similar apis • knowledge of langchain, llamaindex, or custom rag implementations • embedding + semantic search: pinecone, weaviate, or qdrant • familiarity with prompt engineering and function calling workflows integrations • hands-on experience with public apis (notion, confluence, slack, gmail, lms tools) • comfortable reading api docs, building oauth flows, and handling webhooks nice to have: • prior work on b2b saas tools • understanding of sales enablement, knowledge management, or l&d platforms • devops familiarity (docker, ci/cd, logging, monitoring) work style: • remote, async-friendly • you’ll collaborate directly with the founder (technical background) • ideally 20–30 hrs/week to start, with potential to grow into a full-time role ⸻ how to apply: please include a short video on your relevant experience, links to past projects (github, live demos, or portfolios), and anything that shows you’ve worked with similar stacks or product types."
Expert Data Scraper Wanted,"We are looking for a highly skilled web scraping expert to extract structured business data from UK business directories, company websites, and Facebook business pages. Key Requirements: ✅ Expert in scraping business directories & dynamic websites ✅ 100% accurate data — NO DUPLICATES ✅ FAST turnaround ✅ Ability to handle large volumes of data ✅ UK-based business data ONLY ✅ Automated scraping (scripts / tools) required — no manual copy/paste ✅ Final delivery: CSV / Excel / Google Sheets Data Fields Required (for each business): Business Name Address Postcode Phone Number (Landline) Mobile Number (if available) If mobile number is not present in the directory, your script must visit the business website and attempt to extract the mobile number. Website URL Email (if available) Business Description (if available) If not present in the directory, your script must attempt to extract this from the business website. Category Bonus / Extra Opportunity:",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/expert-data-scraper-wanted-4390383,$1K,"expert data scraper wanted we are looking for a highly skilled web scraping expert to extract structured business data from uk business directories, company websites, and facebook business pages. key requirements: ✅ expert in scraping business directories & dynamic websites ✅ 100% accurate data — no duplicates ✅ fast turnaround ✅ ability to handle large volumes of data ✅ uk-based business data only ✅ automated scraping (scripts / tools) required — no manual copy/paste ✅ final delivery: csv / excel / google sheets data fields required (for each business): business name address postcode phone number (landline) mobile number (if available) if mobile number is not present in the directory, your script must visit the business website and attempt to extract the mobile number. website url email (if available) business description (if available) if not present in the directory, your script must attempt to extract this from the business website. category bonus / extra opportunity:"
"Automated Rec Outreach System Using Clay, AirtableZapier","I'm looking for an experienced freelancer to build a fully automated recruitment outreach system for my business using: Clay (https://clay.com) Airtable (as the CRM/central tracker) Zapier (for automation and notifications) Optional: Lemnos/AI prompts to extract key data from job ads or profiles This will be branded under my new embedded recruitment model called TalentKnight, focused on accountancy & finance roles.",https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-agent-development/automated-rec-outreach-system-using-clay-airtablezapier-4392205,$150,"automated rec outreach system using clay, airtablezapier i'm looking for an experienced freelancer to build a fully automated recruitment outreach system for my business using: clay (https://clay.com) airtable (as the crm/central tracker) zapier (for automation and notifications) optional: lemnos/ai prompts to extract key data from job ads or profiles this will be branded under my new embedded recruitment model called talentknight, focused on accountancy & finance roles."
